,total,female,male
Precision (Positive),0.7412935323383084,0.6979166666666666,0.8163265306122449
Recall (Positive),0.7842105263157895,0.7362637362637363,0.8080808080808081
F1 (Positive),0.7621483375959079,0.716577540106952,0.8121827411167513
Support (Positive),190.0,91.0,99.0
Precision (Negative),0.2545454545454545,0.29411764705882354,0.2962962962962963
Recall (Negative),0.21212121212121213,0.2564102564102564,0.3076923076923077
F1 (Negative),0.23140495867768593,0.273972602739726,0.3018867924528302
Support (Negative),66.0,39.0,26.0
AUC-ROC,0.4976076555023924,0.5077486615948155,0.6052836052836053
MCC,-0.0039068765628599515,-0.007639154141901761,0.11418710775905534
TPR,0.7842105263157895,0.7362637362637363,0.8080808080808081
TNR,0.21212121212121213,0.2564102564102564,0.3076923076923077
